,episode,score,Q_sum
148,148.0,2.0,20562.332814970723
149,149.0,1.0,20660.600093876303
150,150.0,1.0,20731.26961919893
151,151.0,0.0,20774.44557870346
152,152.0,0.0,20798.079976179855
153,153.0,1.0,20876.788789781764
154,154.0,0.0,20935.288793312957
155,155.0,1.0,20987.323170593183
156,156.0,0.0,21018.080167622462
157,157.0,0.0,21074.99780451261
158,158.0,1.0,21133.615448098913
159,159.0,0.0,21114.445101476587
160,160.0,1.0,21159.7519181291
161,161.0,0.0,21163.344785037945
162,162.0,1.0,21156.489953732744
163,163.0,0.0,21116.068885649715
164,164.0,0.0,21158.355107391377
165,165.0,1.0,21154.664356995152
166,166.0,0.0,21220.812355819486
167,167.0,0.0,21256.61743502313
168,168.0,0.0,21276.404430967254
169,169.0,0.0,21309.58624494668
170,170.0,0.0,21312.748248962584
171,171.0,0.0,21332.82797910723
172,172.0,0.0,21322.95068943458
173,173.0,0.0,21323.19618926179
174,174.0,0.0,21778.05968969517
175,175.0,0.0,21830.929895625544
176,176.0,0.0,21835.379244476186
177,177.0,0.0,21861.135477398566
178,178.0,1.0,21884.169865761956
179,179.0,0.0,21941.33058491843
180,180.0,0.0,21948.908154141187
181,181.0,0.0,21978.934182129575
182,182.0,0.0,22023.991708173315
183,183.0,0.0,22086.531767363278
184,184.0,1.0,22319.96792998261
185,185.0,0.0,22568.52213736825
186,186.0,0.0,22753.38194294508
187,187.0,0.0,22885.3560147473
188,188.0,1.0,23153.84301848383
189,189.0,0.0,23119.849761190133
190,190.0,2.0,23171.84786725552
191,191.0,1.0,23223.538817844365
192,192.0,1.0,23270.369235812257
193,193.0,1.0,23525.53847036612
194,194.0,0.0,23858.025629940283
195,195.0,0.0,23953.006751197863
196,196.0,0.0,24003.684685278604
197,197.0,0.0,24167.290860298734
198,198.0,0.0,24273.512890181326
199,199.0,0.0,24359.433205171357
200,200.0,1.0,24383.51767559878
201,201.0,0.0,24508.245363822483
202,202.0,1.0,24534.4447823666
203,203.0,0.0,24562.223297178036
204,204.0,0.0,24588.943957321728
205,205.0,1.0,24654.347407801564
206,206.0,0.0,24750.93292282085
207,207.0,0.0,24805.959817107716
208,208.0,0.0,24916.749379189077
209,209.0,0.0,25088.091754049365
210,210.0,0.0,25170.473935502756
211,211.0,0.0,25256.895715006693
212,212.0,0.0,25302.660862697543
213,213.0,0.0,25372.243632165337
214,214.0,0.0,25354.031601550232
215,215.0,0.0,25405.444472112467
216,216.0,0.0,25452.416423329887
217,217.0,0.0,25426.7560779369
218,218.0,0.0,25424.62475731728
219,219.0,0.0,25416.822255107498
220,220.0,1.0,25450.38425958289
221,221.0,2.0,25500.506248058053
222,222.0,1.0,25595.302834294715
223,223.0,1.0,25588.69964877623
224,224.0,1.0,25634.95455228209
225,225.0,0.0,25633.473345293176
226,226.0,0.0,25642.459119925574
227,227.0,0.0,25662.830940869357
228,228.0,2.0,25739.579646780177
229,229.0,1.0,25840.643444282858
230,230.0,0.0,25882.68995492877
231,231.0,0.0,25930.705019380366
232,232.0,0.0,25941.90112786098
233,233.0,0.0,26059.24018405423
234,234.0,0.0,26156.639121641456
235,235.0,0.0,26327.168905614562
236,236.0,0.0,26420.429140497345
237,237.0,0.0,26581.154784852537
238,238.0,0.0,26724.564613678154
239,239.0,0.0,26791.697256752468
240,240.0,0.0,26870.594110759692
241,241.0,0.0,26907.274748930424
242,242.0,0.0,26952.32949917799
243,243.0,1.0,26993.434901704342
244,244.0,1.0,27158.90736963499
245,245.0,0.0,27170.894124208597
246,246.0,0.0,27202.814816163707
247,247.0,0.0,27237.322069165275
248,248.0,1.0,27364.52143524857
249,249.0,1.0,27472.00738171986
250,250.0,0.0,27499.888533779296
251,251.0,0.0,27514.548845866164
252,252.0,0.0,27671.31822602656
253,253.0,0.0,27692.452039733747
254,254.0,1.0,27765.151747723645
255,255.0,1.0,27881.899918368403
256,256.0,1.0,27894.770004262922
257,257.0,0.0,27902.381024405484
258,258.0,1.0,27920.009644982176
259,259.0,2.0,27944.25188571892
260,260.0,0.0,28232.693623939922
261,261.0,1.0,28220.75857478654
262,262.0,0.0,28354.63885011139
263,263.0,1.0,28410.06965938775
264,264.0,1.0,28537.940389890406
265,265.0,1.0,28651.053987431922
266,266.0,0.0,28681.66980058027
267,267.0,0.0,28728.6693525785
268,268.0,0.0,28731.185949597806
269,269.0,0.0,28631.974844285396
270,270.0,1.0,28580.746326065284
271,271.0,0.0,28517.405854654695
272,272.0,0.0,28515.9011718514
273,273.0,0.0,28520.196133189012
274,274.0,0.0,28524.880281713402
275,275.0,2.0,28523.682153968617
276,276.0,0.0,28535.227450859566
277,277.0,0.0,28545.14461096492
278,278.0,2.0,28598.175388880067
279,279.0,0.0,28652.56658814948
280,280.0,0.0,28659.10624430838
281,281.0,0.0,28654.956427432586
282,282.0,0.0,28665.558841445752
283,283.0,1.0,28681.598410403247
284,284.0,2.0,28701.148822122144
285,285.0,2.0,28869.10205369858
286,286.0,0.0,29007.906264121913
287,287.0,0.0,29355.105952783415
288,288.0,0.0,29542.40965694456
289,289.0,0.0,29647.95964138055
290,290.0,0.0,29713.341157864284
291,291.0,1.0,29719.27319017324
292,292.0,0.0,29697.90126079285
293,293.0,0.0,29693.87601472163
294,294.0,1.0,29758.094767328672
295,295.0,0.0,29803.88985601997
296,296.0,1.0,29840.355614485525
297,297.0,0.0,29864.855957145402
298,298.0,0.0,29878.715643352578
299,299.0,0.0,29907.091939866474
300,300.0,0.0,29969.593090673538
301,301.0,0.0,30008.291526171946
302,302.0,0.0,30011.66816064648
303,303.0,0.0,30031.02618515932
304,304.0,0.0,30092.473986046727
305,305.0,1.0,30131.045595456013
306,306.0,0.0,30134.3625456906
307,307.0,0.0,30147.530247394378
308,308.0,0.0,30159.730954997853
309,309.0,0.0,30182.96106751132
310,310.0,0.0,30241.680458620154
311,311.0,0.0,30287.74417248444
312,312.0,0.0,30331.302346505166
313,313.0,0.0,30457.036629981074
314,314.0,0.0,30488.578415330987
315,315.0,0.0,30537.855274558486
316,316.0,1.0,30562.417316818548
317,317.0,0.0,30601.69116397895
318,318.0,0.0,30665.35741156558
319,319.0,0.0,30665.852327117216
320,320.0,0.0,30668.561565410775
321,321.0,1.0,30687.454162399685
322,322.0,0.0,30753.479948587956
323,323.0,0.0,30755.71046435617
324,324.0,0.0,30762.291449037388
325,325.0,0.0,30771.05671890622
326,326.0,0.0,30791.380231756004
327,327.0,0.0,30822.237379514125
328,328.0,0.0,30827.606296291946
329,329.0,0.0,30864.776227000486
330,330.0,0.0,30884.43052901316
331,331.0,1.0,30889.23539700147
332,332.0,1.0,30906.831342232636
333,333.0,0.0,30931.070452843796
334,334.0,0.0,30989.22173840759
335,335.0,0.0,31013.47241240691
336,336.0,0.0,31043.489238660106
337,337.0,1.0,31068.82755604492
338,338.0,0.0,31115.340493600947
339,339.0,1.0,31117.717217257603
340,340.0,0.0,31130.523250758495
341,341.0,0.0,31134.944592993073
342,342.0,0.0,31157.824347822396
343,343.0,0.0,31162.530614581134
344,344.0,0.0,31201.252589669006
345,345.0,1.0,31227.807611071796
346,346.0,0.0,31246.177656030246
347,347.0,0.0,31263.395611765598
348,348.0,0.0,31296.45909355391
349,349.0,1.0,31319.56706890562
350,350.0,1.0,31335.232923349446
351,351.0,0.0,31337.53039159606
352,352.0,0.0,31342.419768518645
353,353.0,0.0,31380.24545940938
354,354.0,0.0,31420.636516673498
355,355.0,1.0,31450.638154859073
356,356.0,1.0,31487.316731006
357,357.0,0.0,31493.58042547163
358,358.0,0.0,31533.233501142247
359,359.0,0.0,31534.565962681292
360,360.0,1.0,31620.554624938413
361,361.0,0.0,31649.138567512484
362,362.0,0.0,31649.24590222185
363,363.0,0.0,31651.692138608385
364,364.0,0.0,31653.447184727534
365,365.0,0.0,31659.23341493491
366,366.0,0.0,31660.070281890745
367,367.0,0.0,31699.300441662148
368,368.0,0.0,31704.1070841786
369,369.0,0.0,31612.572008540643
370,370.0,0.0,31566.593304617178
371,371.0,0.0,31548.36506315093
372,372.0,1.0,31524.991751494053
373,373.0,1.0,31485.985578588337
374,374.0,0.0,31477.538365309825
375,375.0,1.0,31405.010824465644
376,376.0,0.0,31319.90105169822
377,377.0,0.0,31304.94719994815
378,378.0,1.0,31386.46724519431
379,379.0,1.0,31479.65471557183
380,380.0,0.0,31530.071229419576
381,381.0,1.0,31619.528377211784
382,382.0,0.0,31679.339840242974
383,383.0,0.0,31696.86864528311
384,384.0,0.0,31702.03516978709
385,385.0,2.0,31739.14311792358
386,386.0,1.0,31749.35327156242
387,387.0,0.0,31834.067927387056
388,388.0,0.0,31902.057140143745
389,389.0,2.0,31922.97948683311
390,390.0,0.0,31936.791646149297
391,391.0,1.0,31950.48039814683
392,392.0,0.0,32013.781462202693
393,393.0,1.0,32019.192584195313
394,394.0,0.0,32046.7395616597
395,395.0,1.0,32052.208914199837
396,396.0,0.0,32081.965040850053
397,397.0,0.0,32085.25207843134
398,398.0,0.0,32120.70095452779
399,399.0,0.0,32003.511227986164
400,400.0,2.0,31946.821120549248
401,401.0,0.0,31828.724918703534
402,402.0,0.0,31800.271086005523
403,403.0,0.0,31738.024779387735
404,404.0,0.0,31729.191594284253
405,405.0,0.0,31731.014109468353
406,406.0,0.0,31740.885524005273
407,407.0,0.0,31739.857365421347
408,408.0,0.0,31730.073429176413
409,409.0,0.0,31746.21957644174
410,410.0,0.0,31759.557978782686
411,411.0,1.0,31778.73361302403
412,412.0,1.0,31855.62456624768
413,413.0,0.0,31880.877467266946
414,414.0,0.0,31934.281324994154
415,415.0,1.0,31943.627404150895
416,416.0,1.0,31948.87538721323
417,417.0,1.0,31990.675769269423
418,418.0,1.0,31996.97153266827
419,419.0,0.0,32008.137000689123
420,420.0,0.0,31988.25893986509
421,421.0,0.0,31958.37629051967
422,422.0,0.0,31940.903986818033
423,423.0,0.0,31966.298242008306
424,424.0,0.0,31966.060105442448
425,425.0,0.0,31921.71682681807
426,426.0,0.0,31908.268398368295
427,427.0,0.0,31898.752133186637
428,428.0,0.0,31898.588795035274
429,429.0,0.0,31896.840131307865
430,430.0,0.0,31889.090791412742
431,431.0,0.0,31872.91136399231
432,432.0,0.0,31875.689812702658
433,433.0,1.0,31880.150988735717
434,434.0,1.0,31874.458679429885
435,435.0,0.0,31894.994994106855
436,436.0,0.0,31898.50568033287
437,437.0,0.0,31896.94354566876
438,438.0,0.0,31895.06799543806
439,439.0,0.0,31898.11841902473
440,440.0,0.0,31892.622935747702
441,441.0,0.0,31880.54583785531
442,442.0,0.0,31875.753690019756
443,443.0,0.0,31877.15852643754
444,444.0,0.0,31875.813120903305
445,445.0,0.0,31869.160753826494
446,446.0,0.0,31871.349035590665
447,447.0,2.0,31887.746416187125
448,448.0,0.0,31883.14928487828
449,449.0,0.0,31897.131260047023
450,450.0,0.0,31887.977992347685
451,451.0,0.0,31898.05597356691
452,452.0,0.0,31899.079053615096
453,453.0,0.0,31912.500880328662
454,454.0,0.0,31913.538603702567
455,455.0,0.0,31910.70842393847
456,456.0,0.0,31911.855813669445
457,457.0,0.0,31964.73315371231
458,458.0,0.0,31963.249667170752
459,459.0,0.0,31960.06834358553
460,460.0,0.0,31956.845795421075
461,461.0,0.0,31958.691090367272
462,462.0,2.0,31998.553891447587
463,463.0,0.0,32060.36433788515
464,464.0,1.0,32074.67963406023
465,465.0,0.0,32038.764166533016
466,466.0,0.0,32036.57993245004
467,467.0,0.0,32014.724322964154
468,468.0,0.0,32011.177564135705
469,469.0,0.0,32028.63455542275
470,470.0,0.0,32026.950420852423
471,471.0,0.0,32023.692358421547
472,472.0,0.0,32007.217064565775
473,473.0,0.0,32008.756699993726
474,474.0,0.0,32008.258457972603
475,475.0,1.0,32010.329118463374
476,476.0,1.0,32028.71968547799
477,477.0,1.0,32020.05071647749
478,478.0,0.0,32024.5663077484
479,479.0,1.0,32021.815974937846
480,480.0,0.0,32018.383015924188
481,481.0,0.0,32017.167299435605
482,482.0,0.0,32026.56350745847
483,483.0,0.0,32038.027019437024
484,484.0,1.0,32044.1576834584
485,485.0,0.0,32057.36239915948
486,486.0,0.0,32070.524785686495
487,487.0,0.0,32072.212246779163
488,488.0,0.0,32077.16667092684
489,489.0,1.0,32080.309323495378
490,490.0,0.0,32085.581758559227
491,491.0,1.0,32116.537741792392
492,492.0,0.0,32137.96678068554
493,493.0,1.0,32136.34287802654
494,494.0,2.0,32178.011481500376
495,495.0,0.0,32203.625538504304
496,496.0,0.0,32216.725254498193
497,497.0,0.0,32243.6948214721
498,498.0,2.0,32255.090464830508
499,499.0,2.0,32286.36272684832
500,500.0,1.0,32393.450076371515
501,501.0,0.0,32461.30540241228
502,502.0,0.0,32500.445428370072
503,503.0,0.0,32519.397050756634
504,504.0,0.0,32590.214952667484
505,505.0,0.0,32607.480974322367
506,506.0,1.0,34029.37220535477
507,507.0,0.0,34072.96364147052
508,508.0,0.0,34095.128956636996
509,509.0,0.0,34097.01843507972
510,510.0,2.0,34061.847526409954
511,511.0,0.0,34036.78561470848
512,512.0,0.0,34033.08400508228
513,513.0,0.0,34048.84788735844
514,514.0,0.0,34026.0502773939
515,515.0,0.0,34020.293668631
516,516.0,0.0,34021.30038453673
517,517.0,0.0,34018.09513969601
518,518.0,1.0,34003.64717191438
519,519.0,0.0,34002.5840348215
520,520.0,1.0,34014.735373634314
521,521.0,0.0,34027.62807912076
522,522.0,0.0,34031.68061215078
523,523.0,0.0,34030.750225043346
524,524.0,2.0,34045.45000832468
525,525.0,0.0,34045.85953828121
526,526.0,0.0,34046.33897018614
527,527.0,0.0,34056.23026837825
528,528.0,2.0,34055.54064393697
529,529.0,1.0,34023.681888093924
530,530.0,0.0,34017.90356018501
531,531.0,1.0,34019.292683156265
532,532.0,0.0,34017.86202296497
533,533.0,0.0,34014.323700285604
534,534.0,0.0,34004.916188021634
535,535.0,0.0,34007.2438020229
536,536.0,2.0,34019.8817748305
537,537.0,1.0,34053.71940823781
538,538.0,1.0,34064.68258402469
539,539.0,0.0,34065.21958997127
540,540.0,0.0,34077.8746032419
541,541.0,0.0,34086.239055226244
542,542.0,0.0,34092.07839226337
543,543.0,2.0,34126.934480146134
544,544.0,0.0,34193.16380865738
545,545.0,1.0,34215.99715963524
546,546.0,0.0,34258.21828600017
547,547.0,0.0,34330.45712563189
548,548.0,0.0,34693.20541964472
549,549.0,0.0,34756.524049223706
550,550.0,0.0,34762.32807543155
551,551.0,0.0,34770.36312560227
552,552.0,0.0,34794.678999047035
553,553.0,0.0,34810.17806216279
554,554.0,0.0,34874.95031230283
555,555.0,2.0,34892.413724710605
556,556.0,0.0,34917.78421585694
557,557.0,1.0,34923.22984189373
558,558.0,1.0,34950.542629403564
559,559.0,0.0,35013.690608854326
560,560.0,0.0,35015.77950213076
561,561.0,0.0,35021.62927430641
562,562.0,1.0,35046.60494983449
563,563.0,0.0,35047.685531661315
564,564.0,0.0,35089.55661778657
565,565.0,0.0,35083.32699245248
566,566.0,0.0,35076.979770839884
567,567.0,1.0,35077.133908351345
568,568.0,0.0,35076.02867159585
569,569.0,1.0,35102.06789888254
570,570.0,0.0,35098.486938016526
571,571.0,0.0,35099.33502304155
572,572.0,0.0,35099.11089752684
