,episode,score
319,319.0,6.0
320,320.0,3.0
321,321.0,5.0
322,322.0,5.0
323,323.0,5.0
324,324.0,2.0
325,325.0,2.0
326,326.0,3.0
327,327.0,2.0
328,328.0,6.0
329,329.0,7.0
330,330.0,6.0
331,331.0,7.0
332,332.0,7.0
333,333.0,7.0
334,334.0,4.0
335,335.0,5.0
336,336.0,5.0
337,337.0,4.0
338,338.0,4.0
339,339.0,5.0
340,340.0,7.0
341,341.0,7.0
342,342.0,5.0
343,343.0,3.0
344,344.0,3.0
345,345.0,7.0
346,346.0,6.0
347,347.0,3.0
348,348.0,6.0
349,349.0,3.0
350,350.0,4.0
351,351.0,6.0
352,352.0,4.0
353,353.0,5.0
354,354.0,4.0
355,355.0,7.0
356,356.0,3.0
357,357.0,4.0
358,358.0,0.0
359,359.0,7.0
360,360.0,7.0
361,361.0,5.0
362,362.0,5.0
363,363.0,6.0
364,364.0,3.0
365,365.0,2.0
366,366.0,5.0
367,367.0,5.0
368,368.0,6.0
369,369.0,7.0
370,370.0,1.0
371,371.0,5.0
372,372.0,4.0
373,373.0,3.0
374,374.0,5.0
375,375.0,2.0
376,376.0,3.0
377,377.0,5.0
378,378.0,5.0
379,379.0,5.0
380,380.0,4.0
381,381.0,3.0
382,382.0,8.0
383,383.0,4.0
384,384.0,3.0
385,385.0,5.0
386,386.0,5.0
387,387.0,3.0
388,388.0,6.0
389,389.0,5.0
390,390.0,6.0
391,391.0,3.0
392,392.0,0.0
393,393.0,4.0
394,394.0,4.0
395,395.0,5.0
396,396.0,3.0
397,397.0,4.0
398,398.0,1.0
399,399.0,6.0
400,400.0,7.0
401,401.0,0.0
402,402.0,6.0
403,403.0,5.0
404,404.0,3.0
405,405.0,8.0
406,406.0,2.0
407,407.0,4.0
408,408.0,5.0
409,409.0,5.0
410,410.0,6.0
411,411.0,5.0
412,412.0,3.0
413,413.0,4.0
414,414.0,4.0
415,415.0,5.0
416,416.0,3.0
417,417.0,5.0
418,418.0,8.0
419,419.0,2.0
420,420.0,3.0
421,421.0,4.0
422,422.0,5.0
423,423.0,9.0
424,424.0,4.0
425,425.0,2.0
426,426.0,2.0
427,427.0,5.0
428,428.0,8.0
429,429.0,8.0
430,430.0,8.0
431,431.0,6.0
432,432.0,4.0
433,433.0,4.0
434,434.0,9.0
435,435.0,5.0
436,436.0,7.0
437,437.0,4.0
438,438.0,3.0
439,439.0,3.0
440,440.0,5.0
441,441.0,4.0
442,442.0,0.0
443,443.0,7.0
444,444.0,4.0
445,445.0,3.0
446,446.0,0.0
447,447.0,7.0
448,448.0,3.0
449,449.0,4.0
450,450.0,6.0
451,451.0,3.0
452,452.0,2.0
453,453.0,5.0
454,454.0,6.0
455,455.0,10.0
456,456.0,0.0
457,457.0,3.0
458,458.0,2.0
459,459.0,6.0
460,460.0,5.0
461,461.0,5.0
462,462.0,7.0
463,463.0,3.0
464,464.0,4.0
465,465.0,7.0
466,466.0,8.0
467,467.0,6.0
468,468.0,4.0
469,469.0,5.0
470,470.0,3.0
471,471.0,5.0
472,472.0,4.0
473,473.0,5.0
474,474.0,4.0
475,475.0,4.0
476,476.0,5.0
477,477.0,4.0
478,478.0,5.0
479,479.0,4.0
480,480.0,5.0
481,481.0,7.0
482,482.0,2.0
483,483.0,0.0
484,484.0,3.0
485,485.0,3.0
486,486.0,4.0
487,487.0,4.0
488,488.0,5.0
489,489.0,5.0
490,490.0,1.0
491,491.0,4.0
492,492.0,6.0
493,493.0,2.0
494,494.0,9.0
495,495.0,6.0
496,496.0,4.0
497,497.0,6.0
498,498.0,0.0
499,499.0,6.0
500,500.0,5.0
501,501.0,8.0
502,502.0,7.0
503,503.0,4.0
504,504.0,8.0
505,505.0,5.0
506,506.0,6.0
507,507.0,5.0
508,508.0,7.0
509,509.0,6.0
510,510.0,3.0
511,511.0,4.0
512,512.0,5.0
513,513.0,8.0
514,514.0,4.0
515,515.0,4.0
516,516.0,3.0
517,517.0,5.0
518,518.0,6.0
519,519.0,5.0
520,520.0,0.0
521,521.0,6.0
522,522.0,7.0
523,523.0,5.0
524,524.0,8.0
525,525.0,3.0
526,526.0,1.0
527,527.0,7.0
528,528.0,3.0
529,529.0,5.0
530,530.0,5.0
531,531.0,5.0
532,532.0,3.0
533,533.0,5.0
534,534.0,1.0
535,535.0,2.0
536,536.0,3.0
537,537.0,5.0
538,538.0,3.0
539,539.0,5.0
540,540.0,4.0
541,541.0,6.0
542,542.0,3.0
543,543.0,6.0
544,544.0,4.0
545,545.0,6.0
546,546.0,5.0
547,547.0,5.0
548,548.0,7.0
549,549.0,4.0
550,550.0,3.0
551,551.0,5.0
552,552.0,5.0
553,553.0,6.0
554,554.0,4.0
555,555.0,7.0
556,556.0,4.0
557,557.0,2.0
558,558.0,5.0
559,559.0,6.0
560,560.0,4.0
561,561.0,5.0
562,562.0,2.0
563,563.0,3.0
564,564.0,7.0
565,565.0,4.0
566,566.0,1.0
567,567.0,9.0
568,568.0,3.0
569,569.0,6.0
570,570.0,4.0
571,571.0,4.0
572,572.0,7.0
573,573.0,4.0
574,574.0,3.0
575,575.0,8.0
576,576.0,2.0
577,577.0,5.0
578,578.0,4.0
579,579.0,6.0
580,580.0,4.0
581,581.0,4.0
582,582.0,4.0
583,583.0,7.0
584,584.0,4.0
585,585.0,7.0
586,586.0,5.0
587,587.0,9.0
588,588.0,4.0
589,589.0,3.0
590,590.0,4.0
591,591.0,4.0
592,592.0,4.0
593,593.0,5.0
594,594.0,2.0
595,595.0,5.0
596,596.0,4.0
597,597.0,5.0
598,598.0,6.0
599,599.0,2.0
600,600.0,5.0
601,601.0,5.0
