,episode,score,Q_sum
0,0.0,1.0,3.8499999999999996
1,1.0,1.0,373.0310064529574
2,2.0,4.0,1298.3607535113279
3,3.0,0.0,2355.336923839962
4,4.0,5.0,3658.240545144631
5,5.0,2.0,4877.574171806798
6,6.0,2.0,5572.343455059499
7,7.0,1.0,7691.019404091426
8,8.0,1.0,8657.54460172381
9,9.0,0.0,9360.65794246051
10,10.0,2.0,9621.658112832753
11,11.0,1.0,9822.868415180714
12,12.0,3.0,10359.918183144415
13,13.0,2.0,11182.938455674048
14,14.0,3.0,13198.578996468234
15,15.0,2.0,14361.722476337554
16,16.0,0.0,15309.735369435844
17,17.0,0.0,15901.152536444559
18,18.0,3.0,16554.354601702988
19,19.0,0.0,16827.27262233787
20,20.0,1.0,17108.202268377827
21,21.0,3.0,17080.870710404964
22,22.0,1.0,17258.253532990013
23,23.0,0.0,17583.950378536145
24,24.0,1.0,18008.433630019717
25,25.0,4.0,18444.42509247563
26,26.0,2.0,18831.115155633295
27,27.0,3.0,19073.789664017047
28,28.0,0.0,20109.510446827408
29,29.0,1.0,21110.814241456013
30,30.0,1.0,21373.12295376134
31,31.0,0.0,21643.67594949726
32,32.0,0.0,23567.81920520013
33,33.0,1.0,23700.48688079401
34,34.0,3.0,23951.79876374678
35,35.0,4.0,24317.579100519753
36,36.0,2.0,24716.670247534457
37,37.0,0.0,24793.672615759722
38,38.0,0.0,25037.480447372305
39,39.0,1.0,25042.140704596713
40,40.0,1.0,25118.22886896027
41,41.0,1.0,25215.179416539926
42,42.0,1.0,25630.390963176767
43,43.0,1.0,25779.073413858
44,44.0,0.0,25899.459226055078
45,45.0,0.0,25991.980277557523
46,46.0,1.0,26073.7755023478
47,47.0,1.0,26153.910841590194
48,48.0,2.0,26349.337206001615
49,49.0,1.0,26419.615440442798
50,50.0,0.0,26539.210986572878
51,51.0,5.0,26885.729009588344
52,52.0,3.0,27343.711402201647
53,53.0,3.0,27749.45037721709
54,54.0,1.0,28150.32691179457
55,55.0,1.0,28356.00731875653
56,56.0,4.0,28401.199183022334
57,57.0,1.0,28512.135004738157
58,58.0,1.0,28833.33064390936
59,59.0,2.0,29051.709287064372
60,60.0,0.0,29120.50146486319
61,61.0,1.0,29181.97274488068
62,62.0,3.0,29587.54006521103
63,63.0,0.0,29665.570675295807
64,64.0,2.0,29761.92969996281
65,65.0,1.0,29910.355632406325
66,66.0,3.0,29951.628318641608
67,67.0,1.0,30232.135901205824
68,68.0,1.0,30305.89193239229
69,69.0,3.0,30520.989977391742
70,70.0,2.0,30663.68079220466
71,71.0,3.0,30670.976347309792
72,72.0,1.0,30941.45275142389
73,73.0,2.0,31062.784952253907
74,74.0,2.0,31251.051725141075
75,75.0,2.0,31342.75579014692
76,76.0,2.0,31664.730012137297
77,77.0,1.0,32129.3957477435
78,78.0,1.0,32283.431113160023
79,79.0,1.0,32743.68728673525
80,80.0,1.0,32951.78649953063
81,81.0,0.0,33581.37923644988
82,82.0,2.0,33582.09427950133
83,83.0,2.0,33828.824212360734
84,84.0,1.0,34138.02138105659
85,85.0,3.0,34299.6088807171
86,86.0,0.0,34483.20757405943
87,87.0,2.0,34633.903919812525
88,88.0,1.0,34750.554972761616
89,89.0,1.0,35004.75168643841
90,90.0,0.0,35103.33136793032
91,91.0,0.0,36163.74958736982
92,92.0,1.0,36295.60060567356
93,93.0,2.0,36402.53078187928
94,94.0,1.0,36462.64874927177
95,95.0,0.0,36564.65570742113
96,96.0,2.0,36725.12333150394
97,97.0,2.0,36807.08134636451
98,98.0,0.0,37007.06599207106
99,99.0,0.0,36962.673288617996
100,100.0,0.0,37004.192975434664
101,101.0,3.0,37080.503229530506
102,102.0,0.0,37084.00633929861
103,103.0,1.0,37149.25606068161
104,104.0,1.0,37157.15242649842
105,105.0,2.0,37197.08694740712
106,106.0,1.0,37261.90443088439
107,107.0,1.0,37366.45826863803
108,108.0,0.0,37502.69339216454
109,109.0,1.0,37593.60645280934
110,110.0,2.0,37769.6001727344
111,111.0,0.0,37839.61820808599
112,112.0,1.0,37891.724258559276
113,113.0,0.0,37982.76648495141
114,114.0,1.0,38085.62106061619
115,115.0,1.0,38185.13563015933
116,116.0,0.0,38221.27785377216
117,117.0,0.0,38274.916702427734
118,118.0,3.0,38277.83207708169
119,119.0,1.0,38314.85721081481
120,120.0,3.0,38566.98576548787
121,121.0,0.0,38825.1491601405
122,122.0,1.0,38807.63532103414
123,123.0,1.0,38725.55209136824
124,124.0,3.0,38972.89903079177
125,125.0,2.0,38912.78745970942
126,126.0,2.0,38919.44905764797
127,127.0,1.0,39021.00471444786
128,128.0,1.0,38918.69540774011
129,129.0,3.0,38912.33198119659
130,130.0,0.0,38929.15964268795
131,131.0,2.0,39012.256626219896
132,132.0,1.0,39022.6600628532
133,133.0,4.0,39070.3033551075
134,134.0,0.0,39113.59863125667
135,135.0,2.0,39106.82641747424
136,136.0,2.0,39348.64853302062
137,137.0,2.0,39454.86235853037
138,138.0,1.0,39695.31080172818
139,139.0,0.0,39726.762641996866
140,140.0,2.0,39738.36736445746
141,141.0,4.0,39949.6476802596
142,142.0,2.0,39958.92313477083
143,143.0,1.0,39974.83486387461
144,144.0,1.0,40123.57226463982
145,145.0,0.0,40246.77432260833
146,146.0,1.0,40266.302748676506
147,147.0,1.0,40295.27399115421
148,148.0,2.0,40355.581790748096
149,149.0,4.0,40467.08912311746
150,150.0,2.0,40500.071725866306
151,151.0,2.0,40560.61572346797
152,152.0,2.0,40669.51484082984
153,153.0,0.0,40865.24513787106
154,154.0,0.0,41181.014705031404
155,155.0,0.0,41237.443426935555
156,156.0,1.0,41333.55480186868
157,157.0,0.0,41497.046755347925
158,158.0,2.0,41531.262785372994
159,159.0,2.0,41581.32490363338
160,160.0,1.0,41635.42010083843
161,161.0,1.0,41718.52703331467
162,162.0,2.0,41805.0881056235
